Year,New_York,Dubai,Tokyo,London
1996,11.86,27.6,14.73,10.57
1997,11.6,27.53,14.4,10.54
1998,11.84,27.22,15.55,10.39
1999,12.01,27.3,15.57,10.73
2000,11.12,28.1,14.67,10.68
2001,12.18,27.67,15.37,10.7
2002,11.2,28.04,15.73,10.94
2003,11.68,27.9,15.02,10.24
2004,12.28,28.12,14.72,10.77
2005,11.5,27.78,15.97,10.5
2006,11.56,28.27,15.14,10.28
2007,12.3,27.79,16.03,11.26
2008,11.7,28.49,15.48,10.83
2009,12.2,27.88,15.38,10.77
2010,11.73,27.95,15.67,11.22
2011,11.85,28.38,16.15,10.85
2012,12.45,28.46,15.94,10.76
2013,11.55,28.2,16.23,10.8
2014,11.78,28.36,15.73,10.75
2015,12.05,28.62,15.59,11.27
2016,12.05,28.39,16.4,11.15
2017,12.43,28.38,15.61,10.88
2018,11.87,28.29,15.55,10.76
2019,12.1,28.52,15.97,11.56
2020,11.67,28.53,15.95,10.9
2021,11.77,28.46,15.62,11.49
2022,12.24,28.86,16.23,11.27
2023,12.55,28.78,15.42,10.95
2024,11.99,28.78,15.7,10.89
2025,12.42,29.34,16.39,11.14
